,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,688399,硕世生物,-2.371,86.88,90.0,91.0,86.02,88.99,1180464.0,8.85007,103433153.0,59.917,10.215,509290.56,115884.62736
1,688398,赛特新材,-5.411,63.81,67.78,67.99,63.66,67.46,2431392.0,13.358460000000001,158298651.0,88.625,12.354,510480.0,116141.47434
2,688396,N华润微,228.203,42.01,50.0,50.2,41.05,12.8,144869399.0,61.09102,6439886813.0,92.147,6.809,4923471.995195,996212.486588
3,688389,普门科技,-2.043,22.53,23.65,23.7,22.39,23.0,3483521.0,10.024,79780695.0,107.286,12.657,951216.6,78295.816665
4,688388,嘉元科技,0.015,67.18,69.51,69.91,65.96,67.17,3918077.0,7.03717,265005242.0,65.863,6.299,1551024.968,374037.132044
5,688369,致远互联,6.887,81.33,78.54,83.83,76.16,76.09,4296780.0,24.33239,346464735.0,64.548,13.443,626156.278539,143618.052573
6,688368,晶丰明源,-0.031,95.7,96.58,98.5,93.9,95.73,847895.0,6.02399,81684980.0,54.375,13.75,589512.0,134700.621
7,688366,昊海生科,-1.137,92.2,93.27,94.41,91.15,93.26,538831.0,3.6749400000000003,49916124.0,35.598,3.8890000000000002,1639733.666,135186.406
8,688363,华熙生物,3.4,87.9,85.28,88.1,84.86,85.01,2250352.0,4.92789,195212713.0,0.0,17.686,4219200.0,401400.94923
9,688358,祥生医疗,3.538,69.94,67.25,71.16,67.0,67.55,1237502.0,6.7344100000000005,85345370.0,44.266,20.25,559520.0,128520.429128
10,688357,建龙微纳,-2.126,55.71,57.55,57.88,55.05,56.92,928804.0,7.06782,52289489.0,42.527,8.499,322115.22,73210.210155
11,688333,铂力特,-4.458,61.3,64.49,65.3,61.06,64.16,1461738.0,7.69336,91669603.0,64.526,4.803,490400.0,116470.0
12,688321,微芯生物,-5.873,57.06,59.3,60.58,56.99,60.62,3587097.0,8.34209,208896378.0,656.617,16.159,2339460.0,245358.0
13,688310,迈得医疗,-2.728,33.87,34.81,35.24,33.84,34.82,1106464.0,5.81669,38013049.0,38.056,9.678,283153.2,64428.333654
14,688300,联瑞新材,-6.093,59.03,62.94,62.94,58.8,62.86,1814739.0,9.28426,110091548.0,63.473,10.655,507500.9802,115382.422812
15,688299,长阳科技,5.472,26.79,26.01,27.19,25.55,25.4,9143154.0,14.14248,241320994.0,65.341,8.045,757001.217783,173198.1537
16,688298,东方生物,-4.314,92.05,98.0,98.55,90.13,96.2,3561361.0,13.06314,332050734.0,126.096,36.236,1104600.0,250952.849735
17,688288,鸿泉物联,-2.353,40.67,41.69,42.49,39.01,41.65,3206892.0,15.75398,130199126.0,52.818,11.082,406700.0,82788.144824
18,688278,特宝生物,-5.886,34.7,37.61,37.75,34.3,36.87,3314220.0,8.67481,117058406.0,867.5,23.095,1411596.0,132571.63107
19,688268,华特气体,-5.109,65.0,68.6,69.95,64.81,68.5,2633814.0,9.6735,176343723.0,86.667,9.662,780000.0,176976.202
20,688266,泽璟制药,-3.582,60.03,62.1,62.95,59.1,62.26,3766842.0,6.87281,227907901.0,0.0,183.074,1440720.0,329011.907742
21,688258,卓易信息,3.744,130.23,130.0,136.78,126.5,125.53,2485317.0,12.56319,325630121.0,164.848,26.458,1132435.684593,257627.823075
22,688233,神工股份,-7.605,65.61,69.98,72.01,65.61,71.01,8174889.0,22.35612,551157023.0,72.9,21.932,1049760.0,239913.902187
23,688218,江苏北人,-2.301,31.85,32.99,33.26,31.5,32.6,2632836.0,10.82459,84403941.0,54.914,7.394,373727.9,77467.9269
24,688208,道通科技,-6.895,52.8,56.78,57.47,52.5,56.71,6933098.0,15.28777,378081099.0,67.692,19.638,2376000.0,239451.33168
25,688202,美迪西,2.155,73.95,71.93,74.29,71.53,72.39,1229546.0,9.74193,89853219.0,58.228,8.721,458490.0,93333.56694
26,688200,华峰测控,-8.069,267.98,289.01,294.46,265.0,291.5,2148825.0,16.22602,589842752.0,124.065,30.185,1639640.614428,354888.031042
27,688199,久日新材,-0.032,62.99,63.58,63.95,62.55,63.01,1520749.0,5.90227,96218739.0,28.502,5.574,700617.6132,162296.966387
28,688198,佰仁医疗,0.903,48.03,47.99,48.4,47.37,47.6,661013.0,3.38311,31687064.0,60.038,14.154,461088.0,93843.929421
29,688196,卓越新能,-0.835,43.94,44.45,44.83,43.63,44.31,1580286.0,5.72779,69852171.0,29.49,4.792,527280.0,121229.546048
30,688188,柏楚电子,-0.053,151.93,152.2,154.5,150.01,152.01,903614.0,3.74553,137639690.0,81.683,7.259,1519300.0,366532.79623
31,688186,广大特材,-7.317,41.8,44.2,45.09,41.8,45.1,6722452.0,17.68169,288200703.0,31.667,5.305,688864.0,158920.6531
32,688181,八亿时空,-2.04,54.74,56.7,56.97,54.6,55.88,1944152.0,9.58567,108210710.0,34.646,7.172,528093.278636,111022.87427
33,688178,万德斯,-0.826,46.81,47.4,48.16,46.53,47.2,1167963.0,6.04053,55143437.0,34.505,5.658,397874.907764,90509.166554
34,688177,百奥泰,-7.644,51.95,55.36,56.17,51.36,56.25,9880651.0,18.09133,525755957.0,0.0,23.913,2151145.6,283727.01339
35,688169,石头科技,-5.609,418.16,446.47,446.47,417.17,443.01,2580896.0,16.61465,1098502740.0,67.993,16.21,2787733.347272,649563.88976
36,688168,安博通,-4.167,115.69,121.98,121.98,114.14,120.72,1443224.0,12.43555,169206506.0,72.306,6.246,592101.42,134265.556608
37,688166,博瑞医药,-10.584,62.01,68.0,68.0,61.9,69.35,7226332.0,19.54937,463185789.0,281.864,27.438,2542410.0,229217.031927
38,688159,有方科技,-4.279,74.5,78.9,83.88,72.51,77.83,6037004.0,32.35151,469836276.0,104.93,10.517,683012.23775,139021.87975
39,688158,优刻得,-0.428,88.5,87.97,91.91,81.18,88.88,6927837.0,15.83906,602918335.0,402.273,0.0,3739409.6514,387089.5305
40,688139,海尔生物,-2.283,36.81,37.66,38.88,36.58,37.67,4349358.0,5.97609,161605424.0,65.732,7.025,1167141.141198,267900.537042
41,688138,清溢光电,-1.724,22.8,23.3,23.57,22.65,23.2,6066135.0,9.97925,139953106.0,73.548,7.782,608304.0,138595.44756
42,688128,中国电研,-2.254,21.25,21.8,22.0,20.97,21.74,3139162.0,6.90262,67127224.0,36.638,6.501,859562.5,96640.429125
43,688123,聚辰股份,-3.635,79.0,82.6,82.98,77.63,81.98,3670281.0,13.31316,293311942.0,69.298,18.228,954650.7493,217793.7096
44,688122,西部超导,-3.089,38.28,39.69,40.49,38.0,39.5,3016986.0,7.18501,117266626.0,112.621,6.693,1689189.216,160737.72
45,688118,普元信息,0.129,54.45,53.15,56.97,50.8,54.38,5195299.0,23.97594,280685829.0,75.73,11.947,519453.0,117986.610555
46,688116,天奈科技,-2.216,52.96,53.9,56.52,52.88,54.16,2915137.0,5.52363,157564787.0,132.4,7.882,1227920.582336,279500.55736
47,688111,金山办公,5.545,234.31,222.38,237.5,213.0,222.0,3967741.0,5.9538,895636629.0,272.453,59.773,10801691.0,1561493.435062
48,688108,赛诺医疗,-2.894,18.79,19.69,19.69,18.58,19.35,4199717.0,9.29758,79247380.0,75.16,8.822,770390.0,84874.454427
49,688101,三达膜,-0.896,22.13,22.5,22.72,21.8,22.33,5046329.0,6.58785,112120826.0,30.736,3.368,738876.44,169516.877731
50,688100,威胜信息,-2.388,32.29,33.12,33.68,31.86,33.08,4001822.0,10.00831,130445556.0,82.795,9.735,1614500.0,129111.516565
51,688099,晶晨股份,-3.166,67.91,70.2,71.48,67.15,70.13,2721138.0,6.87824,187514442.0,89.355,10.071,2791915.92,268662.547169
52,688098,申联生物,-5.371,20.26,21.09,21.51,19.98,21.41,5570066.0,12.33634,114704721.0,77.923,8.269,830052.2,91477.325966
53,688090,瑞松科技,-6.763,70.86,76.7,76.88,70.07,76.0,2778289.0,18.13023,201262428.0,61.951,7.295,477317.126568,108586.345848
54,688089,嘉必优,1.595,36.3,36.09,37.09,35.8,35.73,2088651.0,8.16467,76103556.0,33.611,5.6530000000000005,435600.0,92861.13903
55,688088,虹软科技,-3.966,75.8,79.89,80.22,72.38,78.93,4722480.0,11.72835,359416260.0,154.694,12.656,3077480.0,305212.65676
56,688086,紫晶存储,-10.647,69.91,72.5,74.7,68.01,78.24,18289465.0,41.8983,1298434979.0,79.443,12.392,1330957.087473,305171.467568
57,688081,兴图新科,-1.722,49.65,50.75,51.33,49.4,50.52,1385269.0,8.28294,69592478.0,61.296,14.094,365424.0,83036.49705
58,688080,映翰通,0.554,107.11,106.01,111.88,100.25,106.52,2278086.0,19.10104,241712158.0,90.771,14.144,561564.726846,127744.762922
59,688078,龙软科技,-0.65,50.47,51.5,51.72,49.62,50.8,1781199.0,11.064,90368563.0,85.542,14.485,357075.25,81251.935632
60,688068,热景生物,-6.453,59.87,64.8,65.3,58.49,64.0,1975755.0,13.97279,120018783.0,58.126,5.961,372369.493567,84656.263818
61,688066,航天宏图,-7.808,51.01,55.12,56.6,50.95,55.33,6060577.0,15.37242,317821748.0,102.02,7.542,846680.981633,201106.925
62,688058,宝兰德,-5.397,157.42,166.4,171.0,156.1,166.4,952530.0,10.47116,154796796.0,92.058,33.281,629680.0,143200.2514
63,688039,当虹科技,-8.618,114.2,122.5,125.0,113.7,124.97,2566446.0,15.58322,303185712.0,107.736,17.136,913600.0,188079.37174
64,688037,芯源微,0.026,116.03,115.64,122.64,114.55,116.0,2361766.0,13.35558,279349508.0,241.729,33.107,974652.0,205184.493235
65,688036,传音控股,-5.274,61.78,66.0,66.97,60.6,65.22,4469947.0,6.24618,277573789.0,67.89,6.383,4942400.0,442115.2873
66,688033,天宜上佳,-0.523,28.51,28.8,29.1,28.36,28.66,2133603.0,4.64672,61109196.0,43.197,5.602,1279349.722988,130907.451128
67,688030,山石网科,0.622,51.74,51.12,53.5,49.13,51.42,4000001.0,10.91388,206588683.0,96.873,7.139,932476.150996,189630.064702
68,688029,南微医学,-2.149,177.6,183.0,183.35,175.66,181.5,1423735.0,4.42208,253724378.0,92.164,9.873,2368118.4,571801.91904
69,688028,沃尔德,-5.009,63.91,67.7,68.44,63.9,67.28,1881273.0,9.901440000000001,123113650.0,58.1,6.018,511280.0,121429.0
70,688026,洁特生物,-7.514,69.3,75.0,75.7,69.0,74.93,3982662.0,17.56314,281876817.0,92.4,15.958,693000.0,157146.42636
71,688025,杰普特,-1.709,46.6,47.6,48.47,46.17,47.41,1362282.0,6.4561,64081757.0,33.05,4.989,430437.56416,98329.18744
72,688023,安恒信息,7.421,230.0,216.1,235.0,209.01,214.11,1020030.0,6.58772,229869335.0,151.316,27.479,1703703.725,356127.584
73,688022,瀚川智能,-7.101,52.85,56.95,57.73,52.71,56.89,2787090.0,10.86585,151663976.0,60.747,6.806,570780.0,135560.25
74,688021,奥福环保,-1.27,43.54,44.13,45.56,43.01,44.1,866543.0,4.76114,38287710.0,53.299,6.9,336492.724736,79244.19328
75,688020,方邦股份,-4.547,109.37,115.42,117.96,107.76,114.58,1778215.0,9.26154,199153792.0,56.087,5.837,874960.0,209990.4
76,688019,安集科技,-0.731,164.4,163.63,169.86,161.5,165.61,1083200.0,8.8743,179382917.0,145.487,10.059,873101.7672,200667.2976
77,688018,乐鑫科技,2.312,275.22,269.0,279.93,265.51,269.0,1003288.0,5.4647,275518818.0,175.893,14.227,2201760.0,505288.09485
78,688016,心脉医疗,-1.808,168.4,171.1,173.99,164.0,171.5,848429.0,5.76089,142802357.0,100.238,11.692,1212111.99548,248009.12972
79,688015,交控科技,-3.632,36.62,38.5,38.57,36.6,38.0,2844657.0,8.23488,106115980.0,66.582,5.832,585920.0,126500.128
80,688012,中微公司,-7.585,180.21,197.0,200.97,176.75,195.0,6619311.0,12.87354,1236834032.0,901.05,26.109,9638752.372977,926603.273412
81,688011,新光光电,-2.958,44.95,46.35,46.88,44.5,46.32,1958633.0,8.17806,88544783.0,46.34,3.817,449500.0,107654.60272
82,688010,福光股份,-2.836,43.51,44.87,45.62,43.5,44.78,2254705.0,6.05876,99319686.0,54.647,3.834,668235.033993,161917.931258
83,688009,中国通号,-1.613,6.71,6.79,6.93,6.7,6.82,52453459.0,4.16297,356681516.0,17.658,1.867,7105768.549,845460.0
84,688008,澜起科技,-8.392,90.6,97.9,99.8,90.0,98.9,12308582.0,15.56299,1145505799.0,104.138,14.291,10236113.83434,716544.60954
85,688007,光峰科技,-1.153,29.15,29.45,29.94,28.93,29.49,2602271.0,4.28489,76325365.0,39.932,6.899,1316281.108065,177031.783225
86,688006,杭可科技,2.914,49.45,49.7,51.91,48.5,48.05,3915535.0,9.94801,196973698.0,62.201,8.942,1982945.0,194635.2
87,688005,容百科技,-3.591,41.08,43.18,43.97,41.06,42.61,3574723.0,8.27482,151306649.0,73.357,4.154,1821017.6556,177465.6
88,688003,天准科技,-3.782,31.8,33.34,33.4,31.61,33.05,3045659.0,6.55488,98287224.0,48.182,3.926,615648.0,147755.52
89,688002,睿创微纳,-5.99,46.3,49.5,49.96,45.59,49.25,5254987.0,9.62452,247069731.0,124.295,9.194,2060350.0,252798.0
90,688001,华兴源创,-5.424,47.95,50.55,51.42,46.52,50.7,4929812.0,12.82096,239197023.0,71.567,10.11,1922795.0,184373.48482
91,603999,读者传媒,0.0,7.03,7.08,7.15,6.95,7.03,8084601.0,1.40358,56949447.0,100.429,2.358,404928.0,404928.0
92,603998,方盛制药,-0.94,7.38,7.45,7.5,7.35,7.45,5383300.0,1.25501,39804788.0,43.412,2.89,320629.05936,316561.20336
93,603997,继峰股份,2.225,8.73,8.69,8.83,8.3,8.54,6194673.0,0.97962,53611213.0,18.313,2.964,893605.350033,552044.4309
94,603996,ST中新,-0.578,3.44,3.47,3.47,3.4,3.46,2692050.0,0.8969,9232207.0,-13.231,0.859,103251.6,103251.6
95,603995,甬金股份,-0.347,22.98,23.11,23.39,22.84,23.06,2577860.0,4.47002,59377045.0,12.031,2.442,530079.66,132525.66
96,603993,洛阳钼业,0.0,4.38,4.4,4.47,4.32,4.38,212186408.0,1.20112,932824176.0,20.372,2.3529999999999998,9460467.375354,7737608.391354
97,603992,松霖科技,0.298,16.82,16.98,17.1,16.66,16.77,1671808.0,4.07758,28196772.0,25.485,3.88,674498.581156,68962.0
98,603991,至正股份,0.977,16.54,16.46,16.63,16.2,16.38,826800.0,2.01271,13645577.0,32.431,2.618,123280.886692,67944.530372
99,603990,麦迪科技,-2.686,60.15,61.48,62.76,57.16,61.81,7620869.0,6.80435,456916242.0,87.174,14.559,676415.47764,673680.0
100,603989,艾华集团,0.145,27.63,27.95,28.25,27.07,27.59,4389583.0,1.12553,122343676.0,35.883,5.405,1077575.973606,1077575.973606
101,603988,中电电机,0.316,9.51,9.46,9.6,9.4,9.48,2359578.0,1.00322,22427567.0,45.286,3.521,223675.2,223675.2
102,603987,康德莱,-1.337,9.59,9.76,9.8,9.51,9.72,8810877.0,1.99518,85053876.0,29.061,3.059,423503.031,423503.031
103,603986,兆易创新,-7.771,355.08,395.0,398.0,348.0,385.0,15173660.0,5.36046,5545046876.0,246.583,23.005,11400760.429608,10051114.203504
104,603985,恒润股份,-1.302,17.44,17.58,17.95,17.36,17.67,2291580.0,2.4592,40255120.0,13.134,2.171,253926.4,162512.896
105,603983,丸美股份,1.053,78.7,77.09,81.5,77.09,77.88,2310616.0,5.63565,182774774.0,68.435,12.553,3155870.0,322670.0
106,603982,泉峰汽车,-5.606,17.68,18.3,18.5,17.41,18.73,12695110.0,25.39022,227511430.0,28.941,2.491,353600.0,88400.0
107,603980,吉华集团,1.752,7.55,7.45,7.58,7.44,7.42,4669372.0,1.35782,35151133.0,5.37,1.167,528500.0,259634.173865
108,603979,金诚信,0.585,8.59,8.61,8.63,8.52,8.54,3519615.0,0.60328,30137084.0,17.18,1.191,501147.843088,501147.843088
109,603978,深圳新星,6.206,28.58,27.51,28.85,27.01,26.91,9897604.0,13.00235,278590412.0,36.641,3.073,457280.0,217555.76144
