,code,profit,normal,block
129,603290,4.596209733535262,6.119346049046321,electronic
60,002975,2.3432954449434846,2.374347651545564,mechanics
127,603195,1.8683232451948601,2.1154070786123116,lightIndustry
74,300603,1.691885794566982,1.7097560975609756,communication
66,300253,1.6442493994692067,1.7947402180885184,medical
37,002328,1.5255475120667386,1.6937799043062203,automobile
67,300326,1.4959451672287003,1.3923739237392372,medical
65,300166,1.4939348057598698,1.2807613868116927,computer
79,300735,1.3950961321096842,1.2091268415379088,electronic
6,000401,1.3771567716652957,1.2289940828402368,building
124,603068,1.3532135954148388,1.0161228036300445,electronic
82,300777,1.3418934244013108,1.071885470606153,chemical
31,002194,1.3275674591864695,1.2734833659491194,communication
64,300059,1.319459681985479,1.1455576559546314,media
11,000672,1.3059754311049894,1.1030713170223843,building
131,603313,1.3029405140191108,1.1211498973305953,lightIndustry
46,002643,1.2808524673753388,1.1401352181929933,chemical
101,600728,1.2792868894522595,1.0210843373493974,computer
120,601965,1.27604604982164,1.049338146811071,automobile
51,002798,1.275666240268308,1.100204498977505,lightIndustry
138,603666,1.2679229765841644,1.1420664206642068,mechanics
41,002458,1.2606216640990469,1.0977734753146178,agriculture
100,600720,1.2600287145453573,1.0930232558139534,building
27,002115,1.2579226548013873,1.1617195496417605,communication
16,000877,1.2526345999587338,1.063193851409052,building
68,300384,1.2449232155561278,1.0566844919786098,decorating
94,600449,1.240941480623268,1.0240641711229945,building
62,300034,1.2379448338012202,1.024683925346177,war
97,600598,1.2369278284783656,1.2203389830508475,agriculture
136,603505,1.2295199564092303,1.1021645021645021,excavation
57,002901,1.2294612608637294,1.0512104283054002,medical
95,600459,1.228785514184284,0.9898477157360406,metals
72,300487,1.2250304159631105,1.0396763247193943,chemical
133,603393,1.2236960012374858,1.2243567753001716,public
52,002803,1.2212194816914093,1.2138188608776843,lightIndustry
8,000547,1.2149195970475744,1.3077601410934745,war
81,300773,1.2112686188358426,1.0552184466019416,computer
30,002182,1.210439288508581,1.0628465804066543,metals
130,603300,1.2017598122601207,0.9794079794079795,finance
23,002013,1.1988645469075403,1.1170798898071626,war
21,000997,1.1968848552633116,0.9797822706065319,computer
59,002972,1.1952979191960946,0.9427083333333334,mechanics
1,000009,1.1930881271821254,1.1422222222222222,integrated
78,300725,1.1914637772332388,1.2032121954539268,medical
55,002851,1.1897072525253598,1.12292817679558,electEquipment
36,002318,1.1865263627647313,0.9412955465587044,steel
126,603160,1.1846925724993886,1.1541353383458646,electronic
76,300662,1.1839345770482825,1.0786261708770934,service
70,300417,1.1769346307675237,0.8699729110231298,mechanics
20,000975,1.1744164014047993,1.0131195335276968,metals
123,603026,1.1645868146980973,0.9976402726796014,chemical
96,600522,1.1628962726405165,1.0273348519362187,communication
40,002440,1.1572441653789647,0.9783174327840416,chemical
69,300401,1.1534296444509802,0.9406322282189667,medical
137,603606,1.153025102214255,0.9871023215821152,electEquipment
105,600846,1.1480221715941967,0.981404958677686,decorating
108,600933,1.1470837968635368,1.0211267605633803,automobile
71,300443,1.1469513593237797,1.0113941018766757,electEquipment
56,002867,1.1449470406772941,0.956372549019608,lightIndustry
5,000338,1.1438673825538261,1.0529938059187889,automobile
47,002698,1.1431734905049422,0.9738030713640469,mechanics
77,300719,1.1393284586530004,0.9117882919005612,war
48,002738,1.1281227794689532,0.9199999999999999,excavation
98,600603,1.1261402765700785,1.043222003929273,integrated
25,002059,1.1259309942829936,0.8605504587155963,service
75,300628,1.1258701014663746,1.3987562189054725,communication
125,603136,1.1111763536386834,0.853932584269663,service
44,002607,1.1064172358263176,1.181965442764579,media
17,000895,1.102534466911765,1.0907051282051283,food
58,002928,1.1020677768056961,0.9684791174152876,transport
140,603878,1.1017080749149426,0.9294117647058824,steel
9,000563,1.099244297876715,0.9090909090909091,finance
13,000732,1.0958404639677444,0.8954248366013072,house
49,002746,1.0956526482168614,0.930317848410758,agriculture
14,000810,1.0956205065604185,0.9323509711989283,electrical
135,603489,1.0955645106994107,0.9115276476101218,electEquipment
39,002415,1.0916637562934166,1.006787330316742,electronic
80,300755,1.0904874856123514,0.8504032258064516,trade
53,002818,1.0903231024257296,0.9020657995409334,trade
54,002832,1.081913636874124,0.8763079222720478,cloths
38,002352,1.0811601567344244,1.3369855692143238,transport
114,601311,1.0801535860381684,0.8899167437557816,automobile
112,601212,1.0788794783012483,0.8657534246575344,metals
115,601360,1.078253714312164,0.958368026644463,computer
32,002234,1.0779164321147154,0.9465506525792418,agriculture
12,000720,1.0764274530673947,0.8690476190476191,public
29,002146,1.0749529597484002,0.9138461538461539,house
104,600811,1.0744864926039355,0.9421965317919074,integrated
26,002110,1.0740844724155456,0.9239956568946796,steel
92,600390,1.069696346834081,0.9613059250302298,finance
35,002299,1.0696589830364975,0.89921875,agriculture
128,603218,1.0649225745197701,0.8758992805755397,electEquipment
10,000568,1.0575003701973489,0.8452264581296839,food
99,600643,1.0512554701292627,0.8992731048805814,finance
90,600170,1.048952748149634,1.0027855153203342,decorating
0,000006,1.0485776973863556,0.8763636363636365,house
88,600138,1.0461440007618679,0.8094135802469136,service
61,300012,1.0444761868973251,1.04594767070836,integrated
134,603466,1.0435757416233515,0.8647342995169083,decorating
28,002127,1.042739226251703,0.8845166809238666,trade
85,600019,1.039653281445867,0.9475524475524476,steel
111,601186,1.0395537959760761,1.0265225933202358,decorating
103,600782,1.039021598722833,0.8735408560311285,steel
33,002242,1.0387512249442503,1.1016882606988614,electrical
91,600368,1.038066211997074,0.9090909090909091,transport
83,300797,1.0370392940943562,0.8002645502645502,integrated
45,002621,1.0320175022035785,0.8771790808240888,media
87,600038,1.0314862103407232,0.8936627282491945,war
102,600779,1.0264040110835482,0.8803864734299517,food
15,000858,1.0246544934017459,0.8851760969976905,food
139,603711,1.024070854634103,0.8760894278135658,food
106,600901,1.0240584712851717,0.8878205128205128,finance
19,000923,1.0236125215423264,0.8178294573643411,excavation
7,000402,1.022661987129519,0.9005037783375315,house
122,601988,1.018596814665208,0.9756097560975611,bank
84,600000,1.0151175351877453,0.8881737731295253,bank
113,601229,1.0139176027445858,0.9510337323177367,bank
34,002262,1.010477702260074,0.9588926174496644,medical
121,601985,1.0100796650579804,0.9408284023668637,public
89,600167,1.002752246976432,0.8932714617169374,metals
93,600398,0.9998642360003597,0.8716981132075471,cloths
2,000027,0.9991589724441199,0.9001610305958132,public
119,601933,0.9983455331634805,1.0876543209876544,trade
63,300043,0.9975337922998085,0.8532423208191126,media
73,300577,0.9955349104398706,0.8815686274509804,cloths
118,601898,0.994741333766312,0.896969696969697,excavation
117,601888,0.9946149088200398,0.8823728050427735,service
22,001965,0.9940295279438807,0.8672768878718535,transport
3,000069,0.9927588086147872,0.8682864450127877,house
110,601166,0.9898919575612903,0.8906329113924051,bank
107,600919,0.989677940325046,0.9040333796940194,bank
4,000333,0.9884094452480763,0.9074816299265197,electrical
43,002563,0.9877400101320597,0.798411122144985,cloths
116,601808,0.9757293075343747,0.8362855609232421,excavation
24,002024,0.9712067974392797,0.8933962264150944,trade
86,600025,0.9533846919289846,0.8995215311004785,public
18,000921,0.9507690628064379,0.8009404388714734,electrical
42,002555,0.945856167946931,1.1561251664447403,media
50,002759,0.9317195277990442,0.7672955974842766,electrical
109,601021,0.929017928536272,0.8210072595281307,transport
132,603365,0.8884308725116669,0.9284802043422733,cloths
