,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,688399,硕世生物,-1.846,89.31,91.97,91.99,88.12,90.99,1212118.0,9.08738,108320996.0,61.593,10.501,523535.22,119125.87557
1,688398,赛特新材,-0.387,61.76,62.96,62.96,61.0,62.0,1306294.0,7.17699,81033175.0,85.778,11.957,494080.0,112410.24064
2,688396,华润微,-2.082,46.09,47.5,48.3,44.68,47.07,49471819.0,20.86213,2287094021.0,94.331,70.517,5401638.282755,1092964.377692
3,688389,普门科技,-1.068,22.23,22.69,22.83,22.11,22.47,2217346.0,6.38052,49553380.0,105.857,12.489,938550.6,77253.262515
4,688388,嘉元科技,2.009,64.48,64.5,65.4,62.8,63.21,2686134.0,4.82451,172439822.0,63.216,6.046,1488688.448,359004.380384
5,688369,致远互联,-2.775,79.18,82.9,83.9,78.52,81.44,2467841.0,13.97523,198543846.0,62.841,13.088,609603.518194,139821.436158
6,688368,晶丰明源,0.425,92.07,92.58,94.0,91.2,91.68,726913.0,5.16446,66992814.0,52.313,13.229,567151.2,129591.2871
7,688366,昊海生科,1.658,91.38,90.6,92.5,90.0,89.89,599940.0,4.09172,54805618.0,35.282,3.854,1625150.3514,133984.0974
8,688363,华熙生物,2.407,93.18,91.36,96.36,90.55,90.99,3259871.0,7.13856,305521024.0,0.0,18.748,4472640.0,425512.405566
9,688358,祥生医疗,-1.741,79.6,81.21,81.92,77.25,81.01,1023820.0,5.57156,82119887.0,50.38,23.046,636800.0,146271.46352
10,688357,建龙微纳,0.422,54.69,55.02,55.4,53.89,54.46,652520.0,4.96541,35626502.0,41.748,8.344,316217.58,71869.797045
11,688333,铂力特,5.939,66.0,61.99,66.5,61.5,62.3,2903686.0,15.28256,186971274.0,69.474,5.171,528000.0,125400.0
12,688321,微芯生物,-0.157,57.21,58.0,58.3,56.63,57.3,1453158.0,3.37944,83316299.0,658.343,16.202,2345610.0,246003.0
13,688310,迈得医疗,0.931,33.61,33.77,33.8,33.3,33.3,845218.0,4.44331,28351541.0,37.764,9.604,280979.6,63933.755362
14,688300,联瑞新材,4.271,58.1,57.99,59.0,56.99,55.72,1858746.0,9.5094,107455916.0,62.473,10.487,499505.454,113564.60724
15,688299,长阳科技,-1.696,25.51,26.4,26.56,25.33,25.95,5027752.0,7.77684,129799451.0,62.22,7.661,720832.439927,164922.9153
16,688298,东方生物,-2.833,95.0,97.77,98.4,93.88,97.77,3974367.0,14.57806,378449041.0,130.137,37.397,1140000.0,258995.3365
17,688288,鸿泉物联,0.732,39.91,40.31,41.0,38.88,39.62,2034524.0,9.99468,81088902.0,51.831,10.875,399100.0,81241.083352
18,688278,特宝生物,-1.192,38.14,38.6,38.64,37.55,38.6,3141122.0,8.22174,119626913.0,953.5,25.384,1551535.2,145714.178934
19,688268,华特气体,4.681,64.18,63.0,65.3,61.33,61.31,3085095.0,11.33097,194994555.0,85.573,9.54,770160.0,174743.579144
20,688266,泽璟制药,-2.418,63.37,64.4,65.3,63.07,64.94,3266411.0,5.95974,208974671.0,0.0,193.26,1520880.0,347317.751018
21,688258,卓易信息,-4.521,122.5,134.17,134.99,121.43,128.3,1700161.0,8.59426,214685163.0,155.063,24.888,1065218.23975,242335.93125
22,688233,神工股份,3.997,63.75,62.5,65.48,61.61,61.3,6444081.0,17.62283,408218063.0,70.833,21.31,1020000.0,233112.502125
23,688218,江苏北人,0.674,31.39,31.7,32.22,31.04,31.18,1754857.0,7.21488,55233850.0,54.121,7.287,368330.26,76349.08086
24,688208,道通科技,1.601,50.13,49.9,51.24,49.7,49.34,3658346.0,8.0668,184253753.0,64.269,18.645,2255850.0,227342.713203
25,688202,美迪西,1.802,74.0,73.4,74.2,72.51,72.69,523587.0,4.14848,38334931.0,58.268,8.725999999999999,458800.0,93396.6728
26,688200,华峰测控,6.107,261.65,251.07,268.6,242.02,246.59,1738206.0,13.12539,444863394.0,121.134,29.472,1600910.39169,346505.162035
27,688199,久日新材,0.975,67.35,67.31,67.73,65.86,66.7,2005615.0,7.78411,134067163.0,30.475,5.96,749112.498,173530.730055
