date,max_0_index,max_1_index,max_2_index,max_3_index,max_4_index,max_5_index,max_6_index,max_7_index,max_8_index,max_9_index
2020-01-15,002182,002328,300603,,,,,,,
2020-01-16,600846,002115,002440,,,,,,,
2020-01-17,600846,002115,002440,,,,,,,
2020-01-20,600846,600459,002440,,,,,,,
2020-01-21,600846,600459,002440,,,,,,,
2020-01-22,600846,600459,002440,,,,,,,
2020-01-23,600846,002115,002440,,,,,,,
2020-02-03,002607,002115,002440,,,,,,,
2020-02-04,002607,000338,601360,,,,,,,
2020-02-05,600846,600459,002440,,,,,,,
2020-02-06,002607,002115,002440,,,,,,,
2020-02-07,600846,000009,002440,,,,,,,
2020-02-10,600846,000009,002440,,,,,,,
2020-02-11,002234,002299,603300,,,,,,,
2020-02-12,600846,000009,002440,,,,,,,
2020-02-13,002194,600603,603300,,,,,,,
2020-02-14,002194,002458,002746,,,,,,,
2020-02-17,002234,002458,002746,,,,,,,
2020-02-18,002234,002299,002746,,,,,,,
2020-02-19,603711,603026,002746,,,,,,,
2020-02-20,zeros,603026,603313,,,,,,,
2020-02-21,603711,603026,002746,,,,,,,
2020-02-24,603711,603026,603365,,,,,,,
2020-02-25,603711,603026,603365,,,,,,,
2020-02-26,002127,300662,002698,,,,,,,
2020-02-27,600846,600459,002440,,,,,,,
2020-02-28,600846,600459,002440,,,,,,,
2020-03-02,600846,000009,002440,,,,,,,
2020-03-03,600846,000009,002440,,,,,,,
2020-03-04,603068,002458,002746,,,,,,,
