code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,date
688399,硕世生物,9.922,95.5,88.88,97.0,88.56,86.88,3412020.0,25.5803,320956942.0,65.862,11.229,559821.0,127382.3885,2020-02-28
688398,赛特新材,-9.105,58.0,61.22,61.61,58.0,63.81,2475751.0,13.60218,147490780.0,80.556,11.229,464000.0,105566.612,2020-02-28
688396,华润微,13.782,47.8,39.51,50.35,39.51,42.01,101794608.0,42.9265,4699500399.0,104.848,7.747,5602046.2121,1133514.80264,2020-02-28
688389,普门科技,0.399,22.62,21.0,23.46,21.0,22.53,4490742.0,12.92233,101305913.0,107.714,12.708,955016.4,78608.58291,2020-02-28
688388,嘉元科技,-10.241,60.3,63.0,63.98,59.31,67.18,6032909.0,10.83558,368252516.0,59.118,5.654,1392182.28,335731.45374,2020-02-28
688369,致远互联,-5.189,77.11,77.0,82.99,75.66,81.33,4069640.0,23.04612,324427580.0,61.198,12.745,593666.674513,136166.089191,2020-02-28
688368,晶丰明源,-8.056,87.99,92.4,93.9,87.8,95.7,1009194.0,7.16996,91661363.0,49.994,12.642,542018.4,123848.5647,2020-02-28
688366,昊海生科,-6.562,86.15,89.0,90.85,86.1,92.2,943797.0,6.4369,83510533.0,33.263,3.633,1532137.2595,126315.7145,2020-02-28
688363,华熙生物,-1.706,86.4,85.51,89.88,85.05,87.9,3261895.0,7.143,285358851.0,0.0,17.384,4147200.0,394551.10368,2020-02-28
688358,祥生医疗,-5.648,65.99,67.98,71.86,65.16,69.94,1539934.0,8.38022,106135322.0,41.766,19.106,527920.0,121261.983388,2020-02-28
688357,建龙微纳,-7.413,51.58,54.0,54.89,51.3,55.71,1321467.0,10.05583,69976771.0,39.374,7.869,298235.56,67782.85119,2020-02-28
688333,铂力特,-10.277,55.0,58.29,59.59,54.07,61.3,2033754.0,10.70397,116632346.0,57.895,4.309,440000.0,104500.0,2020-02-28
688321,微芯生物,-5.661,53.83,55.4,56.4,53.6,57.06,2579387.0,5.99857,141640065.0,619.448,15.245,2207030.0,231469.0,2020-02-28
688310,迈得医疗,-3.72,32.61,33.37,34.0,32.61,33.87,1537261.0,8.08139,51575246.0,36.64,9.318,272619.6,62031.531162,2020-02-28
688300,联瑞新材,-8.165,54.21,56.3,58.66,53.86,59.03,1831847.0,9.37179,101581214.0,58.29,9.785,466061.8014,105961.056084,2020-02-28
688299,长阳科技,-7.801,24.7,25.79,26.58,24.6,26.79,8099368.0,12.52797,206464133.0,60.244,7.417,697944.38519,159686.241,2020-02-28
688298,东方生物,11.059,102.23,93.7,105.77,93.7,92.05,7957685.0,29.18895,790367368.0,140.041,40.243,1226760.0,278706.244741,2020-02-28
688288,鸿泉物联,-9.565,36.78,38.72,39.6,36.31,40.67,3139475.0,15.42279,119477688.0,47.766,10.022,367800.0,74869.632816,2020-02-28
688278,特宝生物,1.96,35.38,34.3,36.5,32.24,34.7,4350020.0,11.38597,152840406.0,884.5,23.547,1439258.4,135169.576578,2020-02-28
688268,华特气体,-6.677,60.66,61.0,63.79,59.52,65.0,3735574.0,13.72005,228621529.0,80.88,9.017,727920.0,165159.637128,2020-02-28
688266,泽璟制药,-0.55,59.7,58.33,61.97,57.68,60.03,2984618.0,5.4456,179716228.0,0.0,182.068,1432800.0,327203.24658,2020-02-28
688258,卓易信息,-11.956,114.66,118.65,126.6,113.0,130.23,2594490.0,13.11506,307677362.0,145.139,23.295,997044.272406,226826.43165,2020-02-28
688233,神工股份,-6.02,61.66,60.0,67.21,59.0,65.61,7786366.0,21.29362,485886874.0,68.511,20.612,986560.0,225470.068722,2020-02-28
688218,江苏北人,-8.885,29.02,30.5,30.87,28.91,31.85,3309125.0,13.60507,98727378.0,50.034,6.737,340520.68,70584.59148,2020-02-28
688208,道通科技,-9.432,47.82,49.69,50.66,47.76,52.8,6554467.0,14.45287,323519810.0,61.308,17.786,2151900.0,216866.717442,2020-02-28
688202,美迪西,-6.991,68.78,72.51,73.88,68.2,73.95,983283.0,7.79074,70004362.0,54.157,8.111,426436.0,86808.421016,2020-02-28
688200,华峰测控,-5.217,254.0,249.0,268.5,247.01,267.98,1727647.0,13.04566,443505654.0,117.593,28.61,1554103.7244,336374.2066,2020-02-28
688199,久日新材,-4.588,60.1,61.68,62.09,59.91,62.99,2003793.0,7.77704,122182401.0,27.195,5.319,668473.068,154850.73313,2020-02-28
688198,佰仁医疗,-1.145,47.48,47.03,48.02,46.55,48.03,808211.0,4.13648,38202887.0,59.35,13.991,455808.0,92769.306036,2020-02-28
