Unnamed: 0,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,date
0,688399,硕世生物,1.087,90.22,89.6,92.0,88.81,89.25,1422016.0,10.66101,129192464.0,62.221000000000004,10.607999999999999,528869.64,120339.67634,2020-03-06
1,688398,赛特新材,-0.34,61.5,61.52,62.3,60.8,61.71,1133531.0,6.2278,69604400.0,85.417,11.907,492000.0,111937.011,2020-03-06
2,688396,华润微,-0.8640000000000001,45.89,45.28,47.31,44.82,46.29,38489392.0,16.23087,1766163647.0,93.921,70.211,5378198.758855,1088221.637932,2020-03-06
3,688389,普门科技,1.396,22.52,22.2,23.1,22.02,22.21,2580581.0,7.42575,58686217.0,107.238,12.652000000000001,950794.4,78261.06486,2020-03-06
4,688388,嘉元科技,2.105,65.98,64.39,66.08,63.01,64.62,2609890.0,4.68757,170685244.0,64.686,6.187,1523319.8480000002,367355.90908400004,2020-03-06
5,688369,致远互联,-4.678,75.6,77.01,77.88,75.08,79.31,2120445.0,12.00795,161906363.0,60.0,12.495999999999999,582041.24748,133499.62836,2020-03-06
6,688368,晶丰明源,-1.979,90.15,90.89,91.71,89.0,91.97,445696.0,3.1665099999999997,40248396.0,51.222,12.953,555324.0,126888.8295,2020-03-06
7,688366,昊海生科,-1.599,89.87,90.89,90.89,89.79,91.33,441645.0,3.01211,39845295.0,34.699,3.79,1598295.7111,131770.0901,2020-03-06
8,688363,华熙生物,-4.301,89.0,91.93,91.93,87.89,93.0,2472986.0,5.41542,221921705.0,0.0,17.907,4272000.0,406424.1693,2020-03-06
9,688358,祥生医疗,0.515,80.0,77.6,81.5,77.6,79.59,738415.0,4.01841,59190554.0,50.633,23.162,640000.0,147006.49599999998,2020-03-06
10,688357,建龙微纳,-0.42200000000000004,54.24,54.08,55.0,53.76,54.47,475876.0,3.6212199999999997,25905778.0,41.405,8.275,313615.68,71278.43832,2020-03-06
11,688333,铂力特,-2.968,64.07,64.0,65.51,62.66,66.03,2092092.0,11.01101,133517659.0,67.442,5.02,512560.0,121733.0,2020-03-06
12,688321,微芯生物,-0.612,56.85,57.1,57.15,56.1,57.2,1158649.0,2.6945300000000003,65657591.0,654.2,16.1,2330850.0,244455.0,2020-03-06
13,688310,迈得医疗,0.149,33.54,33.48,33.85,33.06,33.49,927894.0,4.87794,31147047.0,37.685,9.584,280394.4,63800.599667999995,2020-03-06
14,688300,联瑞新材,1.052,58.6,56.27,59.35,55.5,57.99,1189075.0,6.08334,69008042.0,63.011,10.578,503804.124,114541.92744000001,2020-03-06
15,688299,长阳科技,-3.804,24.53,25.0,25.14,24.32,25.5,5179705.0,8.01188,128222762.0,59.82899999999999,7.3660000000000005,693140.719381,158587.1859,2020-03-06
