,date,predict,code
68,2020-01-13,0.7919921875,000006
208,2020-01-14,0.0,000006
348,2020-01-15,0.0,000006
488,2020-01-16,0.0,000006
628,2020-01-17,0.0,000006
768,2020-01-20,0.0,000006
908,2020-01-21,0.0,000006
1048,2020-01-22,0.0,000006
1188,2020-01-23,0.0,000006
1328,2020-02-03,0.0,000006
1468,2020-02-04,0.0,000006
1608,2020-02-05,0.0,000006
1748,2020-02-06,0.0,000006
1888,2020-02-07,0.0,000006
2028,2020-02-10,0.16033363342285156,000006
2168,2020-02-11,1.0,000006
2308,2020-02-12,1.0,000006
2448,2020-02-13,1.0,000006
2588,2020-02-14,1.0,000006
2728,2020-02-17,1.0,000006
2868,2020-02-18,1.0,000006
3008,2020-02-19,1.0,000006
3148,2020-02-20,1.0,000006
3288,2020-02-21,1.0,000006
3428,2020-02-24,1.0,000006
3568,2020-02-25,1.0,000006
3708,2020-02-26,0.3615621328353882,000006
3848,2020-02-27,0.0,000006
3988,2020-02-28,0.0,000006
4128,2020-02-29,0.0,000006
80,2020-01-13,1.0,000009
220,2020-01-14,0.3666515350341797,000009
360,2020-01-15,0.0,000009
500,2020-01-16,0.0,000009
640,2020-01-17,0.0,000009
780,2020-01-20,0.0,000009
920,2020-01-21,0.0,000009
1060,2020-01-22,0.0,000009
1200,2020-01-23,0.0,000009
1340,2020-02-03,0.0,000009
1480,2020-02-04,0.0,000009
1620,2020-02-05,0.0,000009
1760,2020-02-06,0.0,000009
1900,2020-02-07,0.0,000009
2040,2020-02-10,1.0,000009
2180,2020-02-11,1.0,000009
2320,2020-02-12,1.0,000009
2460,2020-02-13,1.0,000009
2600,2020-02-14,1.0,000009
2740,2020-02-17,1.0,000009
2880,2020-02-18,1.0,000009
3020,2020-02-19,1.0,000009
3160,2020-02-20,1.0,000009
3300,2020-02-21,1.0,000009
3440,2020-02-24,1.0,000009
3580,2020-02-25,1.0,000009
3720,2020-02-26,1.0,000009
3860,2020-02-27,0.0,000009
4000,2020-02-28,0.0,000009
4140,2020-02-29,0.0,000009
58,2020-01-13,0.9006586074829102,000027
198,2020-01-14,0.0,000027
338,2020-01-15,0.0,000027
478,2020-01-16,0.0,000027
618,2020-01-17,0.0,000027
758,2020-01-20,0.0,000027
898,2020-01-21,0.0,000027
1038,2020-01-22,0.0,000027
1178,2020-01-23,0.0,000027
1318,2020-02-03,0.0,000027
1458,2020-02-04,0.0,000027
1598,2020-02-05,0.0,000027
1738,2020-02-06,0.0,000027
1878,2020-02-07,0.0,000027
2018,2020-02-10,1.0,000027
2158,2020-02-11,1.0,000027
2298,2020-02-12,1.0,000027
2438,2020-02-13,1.0,000027
2578,2020-02-14,1.0,000027
2718,2020-02-17,1.0,000027
2858,2020-02-18,1.0,000027
2998,2020-02-19,1.0,000027
3138,2020-02-20,1.0,000027
3278,2020-02-21,1.0,000027
3418,2020-02-24,1.0,000027
3558,2020-02-25,1.0,000027
3698,2020-02-26,0.6913280487060547,000027
3838,2020-02-27,0.0,000027
3978,2020-02-28,0.0,000027
4118,2020-02-29,0.0,000027
67,2020-01-13,0.7919921875,000069
207,2020-01-14,0.0,000069
347,2020-01-15,0.0,000069
487,2020-01-16,0.0,000069
627,2020-01-17,0.0,000069
767,2020-01-20,0.0,000069
907,2020-01-21,0.0,000069
1047,2020-01-22,0.0,000069
1187,2020-01-23,0.0,000069
1327,2020-02-03,0.0,000069
1467,2020-02-04,0.0,000069
1607,2020-02-05,0.0,000069
1747,2020-02-06,0.0,000069
1887,2020-02-07,0.0,000069
2027,2020-02-10,0.16033363342285156,000069
2167,2020-02-11,1.0,000069
2307,2020-02-12,1.0,000069
2447,2020-02-13,1.0,000069
2587,2020-02-14,1.0,000069
2727,2020-02-17,1.0,000069
2867,2020-02-18,1.0,000069
3007,2020-02-19,1.0,000069
3147,2020-02-20,1.0,000069
3287,2020-02-21,1.0,000069
3427,2020-02-24,1.0,000069
3567,2020-02-25,1.0,000069
3707,2020-02-26,0.3615621328353882,000069
3847,2020-02-27,0.0,000069
3987,2020-02-28,0.0,000069
4127,2020-02-29,0.0,000069
32,2020-01-13,1.0,000333
172,2020-01-14,0.0,000333
312,2020-01-15,0.0,000333
452,2020-01-16,0.0,000333
